2026-01-28T09:32:40.546841693Z I0128 09:32:40.546700       1 start.go:21] ClusterVersionOperator v1.0.0-1471-gbe040334-dirty
2026-01-28T09:32:40.547205441Z I0128 09:32:40.547177       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2026-01-28T09:32:40.547205441Z I0128 09:32:40.547194       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2026-01-28T09:32:40.547205441Z I0128 09:32:40.547201       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2026-01-28T09:32:40.547239613Z I0128 09:32:40.547207       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2026-01-28T09:32:40.558595851Z I0128 09:32:40.558575       1 reflector.go:376] Caches populated for *v1.FeatureGate from github.com/openshift/client-go/config/informers/externalversions/factory.go:125
2026-01-28T09:32:40.648448430Z I0128 09:32:40.648408       1 start.go:242] Determined OpenShift version for this CVO: "4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest"
2026-01-28T09:32:40.648474032Z I0128 09:32:40.648440       1 start.go:281] FeatureGate found in cluster, using its feature set "" at startup
2026-01-28T09:32:40.648474032Z I0128 09:32:40.648452       1 start.go:294] CVO features for version 4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest enabled at startup: {desiredVersion:4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest unknownVersion:false statusReleaseArchitecture:false cvoConfiguration:false}
2026-01-28T09:32:40.649738945Z I0128 09:32:40.649709       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:32:40.657126285Z I0128 09:32:40.657073       1 reflector.go:376] Caches populated for *v1.ConfigMap from k8s.io/client-go/informers/factory.go:160
2026-01-28T09:32:40.657244771Z I0128 09:32:40.657207       1 upgradeable.go:475] ConfigMap openshift-config/admin-acks added.
2026-01-28T09:32:40.657627240Z I0128 09:32:40.657602       1 reflector.go:376] Caches populated for *v1.Proxy from github.com/openshift/client-go/config/informers/externalversions/factory.go:125
2026-01-28T09:32:40.658259312Z I0128 09:32:40.658239       1 reflector.go:376] Caches populated for *v1.ClusterVersion from github.com/openshift/client-go/config/informers/externalversions/factory.go:125
2026-01-28T09:32:40.667117205Z I0128 09:32:40.667091       1 reflector.go:376] Caches populated for *v1.ClusterOperator from github.com/openshift/client-go/config/informers/externalversions/factory.go:125
2026-01-28T09:32:40.669255512Z I0128 09:32:40.669087       1 reflector.go:376] Caches populated for *v1.ConfigMap from k8s.io/client-go/informers/factory.go:160
2026-01-28T09:32:40.669310975Z I0128 09:32:40.669250       1 upgradeable.go:475] ConfigMap openshift-config-managed/admin-gates added.
2026-01-28T09:32:40.669354817Z I0128 09:32:40.669313       1 upgradeable.go:92] Upgradeability condition failed (type='UpgradeableClusterVersionOverrides' reason='ClusterVersionOverridesSet' message='Disabling ownership via cluster version overrides prevents upgrades. Please remove overrides before continuing.')
2026-01-28T09:32:40.669418340Z I0128 09:32:40.669396       1 upgradeable.go:92] Upgradeability condition failed (type='UpgradeableClusterOperators' reason='ClusterOperatorsNotUpgradeable' message='Multiple cluster operators should not be upgraded between minor versions:
2026-01-28T09:32:40.669418340Z * Cluster operator machine-config should not be upgraded between minor versions: DegradedPool: One or more machine config pools are degraded, please see `oc get mcp` for further details and resolve before upgrading
2026-01-28T09:32:40.669418340Z * Cluster operator control-plane-machine-set should not be upgraded between minor versions: AsExpected: cluster operator is not upgradable')
2026-01-28T09:32:40.669444782Z I0128 09:32:40.669413       1 upgradeable.go:92] Upgradeability condition failed (type='UpgradeableUpgradeInProgress' reason='UpdateInProgress' message='An update is already in progress and the details are in the Progressing condition')
2026-01-28T09:32:40.754420907Z I0128 09:32:40.754379       1 start.go:408] Waiting on 1 outstanding goroutines.
2026-01-28T09:32:40.754706091Z I0128 09:32:40.754493       1 leaderelection.go:257] attempting to acquire leader lease openshift-cluster-version/version...
2026-01-28T09:39:57.192459585Z I0128 09:39:57.192415       1 leaderelection.go:271] successfully acquired lease openshift-cluster-version/version
2026-01-28T09:39:57.192618903Z I0128 09:39:57.192526       1 event.go:377] Event(v1.ObjectReference{Kind:"Lease", Namespace:"openshift-cluster-version", Name:"version", UID:"e58d7e17-bb1e-4203-b503-730d12000f87", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"18206", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' ip-10-0-108-54_9bec53ab-c179-4c1d-8361-de4218a41799 became leader
2026-01-28T09:39:57.192641164Z I0128 09:39:57.192604       1 payload.go:144] Loading updatepayload from "/"
2026-01-28T09:39:57.192826003Z I0128 09:39:57.192802       1 payload.go:288] Architecture from release-metadata (4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest) retrieved from runtime: "amd64"
2026-01-28T09:39:57.193683626Z I0128 09:39:57.193660       1 metrics.go:232] Metrics port listening for HTTPS on 0.0.0.0:9099
2026-01-28T09:39:57.197247764Z I0128 09:39:57.197225       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_01_clusterversionoperators-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterversionoperators.operator.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.197773371Z I0128 09:39:57.197745       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_01_clusterversionoperators-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterversionoperators.operator.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.198195872Z I0128 09:39:57.198177       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_01_clusterversionoperators-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterversionoperators.operator.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.202987171Z I0128 09:39:57.202953       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_01_clusterversions-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterversions.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.209093617Z I0128 09:39:57.208992       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_01_clusterversions-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterversions.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.211781961Z I0128 09:39:57.211740       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_01_clusterversions-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterversions.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.211936669Z I0128 09:39:57.211910       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_02_configuration-DevPreviewNoUpgrade.yaml" Group: "operator.openshift.io" Kind: "ClusterVersionOperator" Name: "cluster": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.212103057Z I0128 09:39:57.212078       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_02_configuration-TechPreviewNoUpgrade.yaml" Group: "operator.openshift.io" Kind: "ClusterVersionOperator" Name: "cluster": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.212240974Z I0128 09:39:57.212214       1 payload.go:219] excluding Filename: "0000_00_cluster-version-operator_02_networkpolicy.yaml" Group: "networking.k8s.io" Kind: "NetworkPolicy" Namespace: "openshift-cluster-version" Name: "default-deny": no annotations
2026-01-28T09:39:57.223425714Z I0128 09:39:57.223388       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_apiservers-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "apiservers.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.226103358Z I0128 09:39:57.226076       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_apiservers-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "apiservers.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.227549180Z I0128 09:39:57.227519       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_apiservers-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "apiservers.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.231878106Z I0128 09:39:57.231840       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_backups-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "backups.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.232506758Z I0128 09:39:57.232466       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_backups-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "backups.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.233102718Z I0128 09:39:57.233067       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_backups-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "backups.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.235070326Z I0128 09:39:57.235039       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_clusterimagepolicies-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterimagepolicies.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.238729769Z I0128 09:39:57.238698       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_clusterimagepolicies-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterimagepolicies.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.240683507Z I0128 09:39:57.240655       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_clusterimagepolicies-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clusterimagepolicies.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.243688747Z I0128 09:39:57.243653       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_clustermonitoring-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clustermonitoring.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.248339560Z I0128 09:39:57.248310       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_clustermonitoring-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clustermonitoring.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.251273567Z I0128 09:39:57.251245       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_clustermonitoring-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "clustermonitoring.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.257375002Z I0128 09:39:57.257343       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_imagepolicies-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "imagepolicies.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.262536650Z I0128 09:39:57.262499       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_imagepolicies-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "imagepolicies.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.264650276Z I0128 09:39:57.264626       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_imagepolicies-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "imagepolicies.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
2026-01-28T09:39:57.265413444Z I0128 09:39:57.265384       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_images-CustomNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "images.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=CustomNoUpgrade
2026-01-28T09:39:57.267245096Z I0128 09:39:57.267215       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_images-DevPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "images.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=DevPreviewNoUpgrade
2026-01-28T09:39:57.267982043Z I0128 09:39:57.267959       1 payload.go:219] excluding Filename: "0000_10_config-operator_01_images-TechPreviewNoUpgrade.crd.yaml" Group: "apiextensions.k8s.io" Kind: "CustomResourceDefinition" Name: "images.config.openshift.io": "Default" is required, and release.openshift.io/feature-set=TechPreviewNoUpgrade
