2026-01-28T09:31:55.724377390Z I0128 09:31:55.712187       1 cmd.go:253] Using service-serving-cert provided certificates
2026-01-28T09:31:55.724616142Z I0128 09:31:55.724577       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2026-01-28T09:31:55.725966359Z I0128 09:31:55.724646       1 observer_polling.go:159] Starting file observer
2026-01-28T09:31:55.726289715Z I0128 09:31:55.726274       1 observer_polling.go:159] Starting file observer
2026-01-28T09:31:55.726435972Z I0128 09:31:55.724683       1 profiler.go:21] Starting profiling endpoint at http://127.0.0.1:6060/debug/pprof/
2026-01-28T09:31:55.758771622Z I0128 09:31:55.756633       1 builder.go:304] openshift-cluster-etcd-operator version 4.20.0-202601161812.p2.gc706661.assembly.stream.el9-c706661-c706661bce28d9f2beb0c1c0037f1481160db396
2026-01-28T09:32:00.191074458Z I0128 09:32:00.190625       1 secure_serving.go:57] Forcing use of http/1.1 only
2026-01-28T09:32:00.191128101Z W0128 09:32:00.191116       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:32:00.191153162Z W0128 09:32:00.191144       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2026-01-28T09:32:00.191177543Z W0128 09:32:00.191169       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_GCM_SHA256' detected.
2026-01-28T09:32:00.191200084Z W0128 09:32:00.191191       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_GCM_SHA384' detected.
2026-01-28T09:32:00.191223075Z W0128 09:32:00.191214       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_CBC_SHA' detected.
2026-01-28T09:32:00.191244367Z W0128 09:32:00.191236       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_CBC_SHA' detected.
2026-01-28T09:32:00.204570936Z I0128 09:32:00.204500       1 secure_serving.go:211] Serving securely on [::]:8443
2026-01-28T09:32:00.206064310Z I0128 09:32:00.205830       1 leaderelection.go:257] attempting to acquire leader lease openshift-etcd-operator/openshift-cluster-etcd-operator-lock...
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218209       1 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218312       1 shared_informer.go:350] "Waiting for caches to sync" controller="RequestHeaderAuthRequestController"
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218371       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218552       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218707       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218719       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218739       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:32:00.223582567Z I0128 09:32:00.218749       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:32:00.292161880Z I0128 09:32:00.291084       1 leaderelection.go:271] successfully acquired lease openshift-etcd-operator/openshift-cluster-etcd-operator-lock
2026-01-28T09:32:00.299882422Z I0128 09:32:00.299542       1 event.go:377] Event(v1.ObjectReference{Kind:"Lease", Namespace:"openshift-etcd-operator", Name:"openshift-cluster-etcd-operator-lock", UID:"7032c332-9ccb-430d-8afe-ddfb0b661c8a", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"10656", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' etcd-operator-86dcff847c-dnhnc_eca50234-5ccf-4cee-b4f2-8ab087b57094 became leader
2026-01-28T09:32:00.321057040Z I0128 09:32:00.318674       1 shared_informer.go:357] "Caches are synced" controller="RequestHeaderAuthRequestController"
2026-01-28T09:32:00.321057040Z I0128 09:32:00.318785       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:32:00.359076371Z I0128 09:32:00.357917       1 starter.go:195] recorded cluster versions: map[raw-internal:4.20.0-0-2026-01-28-090915-test-ci-ln-vjb5l1t-latest]
2026-01-28T09:32:00.370058744Z E0128 09:32:00.367091       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:00.370251954Z E0128 09:32:00.370235       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:00.374826040Z E0128 09:32:00.374801       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:00.377049661Z I0128 09:32:00.377013       1 simple_featuregate_reader.go:171] Starting feature-gate-detector
2026-01-28T09:32:00.383050677Z I0128 09:32:00.382511       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:32:00.451809010Z I0128 09:32:00.451697       1 starter.go:411] FeatureGates initializedenabled[AdditionalRoutingCapabilities AdminNetworkPolicy AlibabaPlatform AzureWorkloadIdentity BuildCSIVolumes CPMSMachineNamePrefix ConsolePluginContentSecurityPolicy ExternalOIDC ExternalOIDCWithUIDAndExtraClaimMappings GatewayAPI GatewayAPIController HighlyAvailableArbiter ImageVolume IngressControllerLBSubnetsAWS KMSv1 MachineConfigNodes ManagedBootImages ManagedBootImagesAWS MetricsCollectionProfiles NetworkDiagnosticsConfig NetworkLiveMigration NetworkSegmentation NewOLM PinnedImages PreconfiguredUDNAddresses ProcMountType RouteAdvertisements RouteExternalCertificate ServiceAccountTokenNodeBinding SetEIPForNLBIngressController SigstoreImageVerification StoragePerformantSecurityPolicy UpgradeStatus UserNamespacesPodSecurityStandards UserNamespacesSupport VSphereMultiDisk VSphereMultiNetworks]disabled[AWSClusterHostedDNS AWSClusterHostedDNSInstall AWSDedicatedHosts AWSServiceLBNetworkSecurityGroup AutomatedEtcdBackup AzureClusterHostedDNSInstall AzureDedicatedHosts AzureMultiDisk BootImageSkewEnforcement BootcNodeManagement ClusterAPIInstall ClusterAPIInstallIBMCloud ClusterMonitoringConfig ClusterVersionOperatorConfiguration DNSNameResolver DualReplica DyanmicServiceEndpointIBMCloud DynamicResourceAllocation EtcdBackendQuota EventedPLEG Example Example2 ExternalSnapshotMetadata GCPClusterHostedDNS GCPClusterHostedDNSInstall GCPCustomAPIEndpoints GCPCustomAPIEndpointsInstall ImageModeStatusReporting ImageStreamImportMode IngressControllerDynamicConfigurationManager InsightsConfig InsightsConfigAPI InsightsOnDemandDataGather IrreconcilableMachineConfig KMSEncryptionProvider MachineAPIMigration MachineAPIOperatorDisableMachineHealthCheckController ManagedBootImagesAzure ManagedBootImagesvSphere MaxUnavailableStatefulSet MinimumKubeletVersion MixedCPUsAllocation MultiArchInstallAzure MultiDiskSetup MutatingAdmissionPolicy NewOLMCatalogdAPIV1Metas NewOLMOwnSingleNamespace NewOLMPreflightPermissionChecks NewOLMWebhookProviderOpenshiftServiceCA NoRegistryClusterOperations NodeSwap NutanixMultiSubnets OVNObservability OpenShiftPodSecurityAdmission SELinuxMount ShortCertRotation SignatureStores SigstoreImageVerificationPKI TranslateStreamCloseWebsocketRequests VSphereConfigurableMaxAllowedBlockVolumesPerNode VSphereHostVMGroupZonal VSphereMixedNodeEnv VolumeAttributesClass VolumeGroupSnapshot]
